taxonomy_version,ticker,layer,subindustry,report_group_status,is_primary,role_weight,notes
DC_TAXONOMY_FULL_V1,CTS,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,CLS,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,GLW,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,BDC,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,APH,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,TEL,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,COMM,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,BELFB,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,LFUS,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,ROG,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,KN,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,VRT,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,ETN,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,ABB,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,NVT,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,HUBB,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,POWL,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,GEV,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,ETN,Electrical & power systems,Electrical components & controls,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,HUBB,Electrical & power systems,Electrical components & controls,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,NVT,Electrical & power systems,Electrical components & controls,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,ROK,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,EMR,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,DOV,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,AEIS,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,PH,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,NPO,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,IEX,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,NDSN,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,ITT,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,GGG,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,RRX,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CR,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,PNR,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,IR,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,FLS,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,AME,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CSW,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,JCI,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,SPXC,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,FELE,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,AEIS,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,MPWR,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,ADI,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,TXN,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,VRT,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,ETN,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,POWL,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,GNRC,Electrical & power systems,Power conversion & precision power,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,AMSC,Electrical & power systems,Power conversion & precision power,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,DCI,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,MIDD,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ITW,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,WTS,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,KAI,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,XYL,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,AOS,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ENS,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,AYI,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,CARR,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,LII,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,CSL,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,MWA,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,HLIO,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,CAT,Backup power,"Generators, engines, fuel cells, BESS",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CMI,Backup power,"Generators, engines, fuel cells, BESS",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,GNRC,Backup power,"Generators, engines, fuel cells, BESS",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,GEV,Backup power,"Generators, engines, fuel cells, BESS",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,BE,Backup power,"Generators, engines, fuel cells, BESS",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,PLUG,Backup power,"Generators, engines, fuel cells, BESS",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,FLNC,Backup power,"Generators, engines, fuel cells, BESS",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CEG,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,VST,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,NEE,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,TLN,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,NRG,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,PEG,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,VRT,Cooling,Air and liquid cooling,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,MOD,Cooling,Air and liquid cooling,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,NVT,Cooling,Air and liquid cooling,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,JCI,Cooling,Air and liquid cooling,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,TT,Cooling,Air and liquid cooling,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CARR,Cooling,Air and liquid cooling,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,LII,Cooling,Air and liquid cooling,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,CARR,Building & thermal systems,"HVAC, filtration, water, lighting",EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,LII,Building & thermal systems,"HVAC, filtration, water, lighting",EXTENDED,0,1.0,
